"","Age","MPCOQ","MAAT","MAF","AI"
"1",56,36.9970207131447,8.28232425739665,11.310732196265,2464.80184543865
"2",141,36.8272488321981,6.73353586957149,11.3115633152325,1771.89785624789
"3",441,42.0503051109652,9.76384584403092,11.8404510553485,2494.5870828944
"4",672,29.7321963775128,7.84995881046171,13.9014518374489,1580.84088888709
"5",918,16.4191371089567,2.97426645956552,10.7282912298884,949.720459371622
"6",1158,14.9021569145764,4.10850795782067,11.1977539756649,2288.77495273644
"7",1393,5.05357488121181,-0.403308602906524,7.09104984843956,2507.71694098218
"8",1640,4.56946827890452,-1.63968046083873,6.98268333507688,2497.48365983028
"9",1883,-10.2038895254884,-1.06823180601512,6.99538959595915,2902.18190249871
"10",2227,-1.11673686875177,-0.562347322756003,7.07221918493726,3706.86643401914
"11",2392,-8.25402965809942,-0.782048667085123,7.03441586809302,3720.15554319102
"12",2568,-2.43238005505247,0.779078754600075,8.38328004166629,3536.03245779599
"13",2747,-5.30281472978976,1.27530926184348,10.1778628558064,3254.66383901467
"14",2910,9.16715561640246,2.28952760731296,9.98654279576769,3645.43736926
"15",3083,1.98768891369106,2.13652814290264,8.99382079362062,3482.12983779449
"16",3237,2.53058878450402,0.614075544299257,8.55234302399435,3281.27208559528
"17",3360,9.69501785438465,1.7856256015744,9.56671681552526,3268.95031437093
"18",3478,7.91679627002276,2.52184339928042,8.44109402386415,3894.27581424637
"19",3598,7.65003792111289,3.18869671566692,9.62735932872734,2994.27069977639
"20",3716,54.9099255383316,7.69008952622337,12.9760877953548,2346.83276803508
"21",3835,50.777668174205,8.8452285786584,11.9844351363033,2969.47050221293
"22",3950,29.1164951166477,3.53326289356589,9.25241922888411,3339.8180901656
"23",4071,38.7951343044684,3.39619459832574,7.60618550929181,3430.00104326944
"24",4183,5.66015522017056,1.16560502957527,6.52557621613399,3571.80996830406
"25",4302,3.36591869688838,-0.896965528282817,6.09360004650858,3370.90907400503
"26",4422,9.63959080231477,2.83791463177336,7.42262601430377,3243.90903056926
"27",4537,23.2358398049781,1.52746768393156,8.22371094824263,3396.38974280065
"28",4645,45.4547301353632,0.41079662683867,8.28359063950533,3354.65356765874
"29",4786,-0.0317688933623145,-1.31839452540344,5.92753429503749,3458.29973547639
"30",4923,31.8903842281929,0.615869715144447,8.04475200351882,3635.65578196374
"31",5057,11.756226555323,-1.7327752268027,7.14755451571641,3464.72393095108
"32",5173,9.04624383708487,-1.64751836784239,6.86614241087477,4008.30279595125
"33",5289,39.2473713585228,-0.476637131417457,8.16005759291439,3052.68861236227
"34",5403,-2.33199070618411,-0.960532390050705,6.82146432267307,3737.08595682988
"35",5517,-7.3427224777568,-3.07113713045812,6.83371535218294,4159.9482492652
"36",5601,2.25194641887652,-0.687752940994833,7.58016979505307,3878.52885152091
"37",5683,9.44273033246115,-1.43720017434324,6.89985264880293,3422.25486760037
"38",5766,-10.7258282094494,0.1408358765096,8.46791340877772,3334.26204797694
"39",5849,11.9427076756089,-1.03415588440771,7.82440832787702,4142.61639632777
"40",5932,13.3368387025272,-0.218148602822718,8.5417077882313,4263.06141100926
"41",6056,56.0401561105947,-1.53810439081206,7.80087104984045,3111.48849691867
"42",6182,7.17612312941201,-1.93837657992026,8.21364063487494,3672.15427066697
"43",6308,26.4155212660864,-1.21136563975617,8.10911117319776,3646.58236955092
"44",6435,18.0311208967652,-2.65737600127536,6.41097499082608,4177.59522121981
"45",6562,12.8579834465481,-0.458983553956692,8.21894080829894,4033.2468485215
"46",6688,61.6375030314116,-1.03833008228412,7.83206313343703,4246.6608345176
"47",6815,20.2669066844457,-3.0925345984512,6.02303809867514,3029.71601673101
"48",6943,12.4383786192378,-2.72201365814623,7.06862368971743,3182.1383200563
"49",7075,-0.45986200677785,-2.55871255518168,6.96040706344098,3429.5108468419
"50",7273,3.69268995090021,-0.909081961174735,8.14621176793369,3941.87148124432
